Date,Page Views,Visitors,Registrations
2025-03-12,14,12,2
2025-03-13,2,2,1
2025-03-14,0,0,0
2025-03-15,2,2,0
2025-03-16,0,0,0
2025-03-17,4,3,0
2025-03-18,1,1,0
2025-03-19,1,1,0
2025-03-20,9,2,0
2025-03-21,4,4,0
2025-03-22,0,0,0
2025-03-23,3,1,0
2025-03-24,2,2,0
2025-03-25,4,3,2
2025-03-26,1,1,0
2025-03-27,1,1,0
2025-03-28,0,0,0
2025-03-29,1,1,0
2025-03-30,2,2,0
2025-03-31,21,13,7
2025-04-01,0,0,0
2025-04-02,0,0,0
2025-04-03,2,2,0
2025-04-04,6,5,1
2025-04-05,1,1,1
2025-04-06,4,4,2
2025-04-07,4,2,0
2025-04-08,167,134,20
2025-04-09,55,47,18
