Date,Page Views,Visitors,Registrations
2024-05-30,1,1,0
2024-05-31,3,3,2
2024-06-01,1,1,2
2024-06-02,18,17,14
2024-06-03,89,80,19
2024-06-04,22,20,5
2024-06-05,35,29,6
2024-06-06,33,29,13
2024-06-07,10,8,2
2024-06-08,6,6,4
2024-06-09,67,58,9
2024-06-10,62,57,10
2024-06-11,51,43,17
2024-06-12,65,51,25
