EventDate,Check-Ins,Registrations
2/8/2023,81,158
6/14/2023,64,121
11/15/2023,89,181
7/16/2025,48,57
2/21/2024,85,148
3/13/2024,72,119
4/10/2024,84,136
6/12/2024,65,129
7/10/2024,73,215
